idComment	comment
41862_u	René Cardona Jr made the overlong, boring and trashy shark flick Tintorerra a year before he went to make this overlong, boring and trashy disaster/survival flick with sharks thrown in. I can only imagine that the director was a real big fan of Steven Spielberg's Jaws as this is his second shark flick where sharks are not the main focus, and by rights don't actual have a real part to play in the story. I am thankful to say that he has ditched the soap opera elements of Tintorerra in favour of some more exploitative survival style elements, and it's slightly more interesting; although really the film is a mess and far to boring to entertain. The plot focuses on an airplane full of people that crashes during a storm. The survivors get themselves onto a small boat and are swept out to sea, but it's not long before hunger starts setting in, and this in turn sets off arguments between the survivors as they realise that they have to eat...something. However, their hunger isn't the only thing they are under threat from, as there's sharks in the vicinity too.<br /><br />The plot actually sounded like it might lead to something decent, and I dare say it would have done in the hands of a decent director. However, René Cardona Jr is obviously not one of those and he manages to turn the whole thing on its head and ensures that nothing about the film is likable. The idea of people being forced into cannibalism is interesting; but the characters are boring and the overall atmosphere is far too impressive for the film to be enjoyable at the same time. There are some real unpleasant scenes in the film, and while this might have pleased some people; they are not done very well at all and a scene that sees a man kill a dog, for example, looks incredibly fake and stupid. The location used is just about the only successful element; as we see the people baking in the hot sun and this helps to get their desperate situation across. Anyone going into this film is liable to be extremely disappointed as there are no sharks at all for most of the film (excluding some stock footage) and they don't appear until the last ten minutes. By then, it would have taken something really special to create some excitement, but predictably; we are only served more disappointment.
41863_u	Rene Cardon's grim, but not entirely terrible rip-off of JAWS, HURRICANE, AIRPORT, etc. A plane crashes and the survivors are rescued by a pleasure boat. There's too many people on board, so...it's gross and very silly. Nevermind the fact that the production values stink, it's actually kind of bizarre wondering why the great Arthur Kennedy is in this thing. Is this the same multi-Oscar nominated actor from SOME CAME RUNNING, TRIAL and LAWRENCE OF ARABIA?!? Carroll Baker appears as well(and is way too old at this point to be seen in a bathing suit). Clearly these faded stars needed a paycheck. The best that can be said is that it's better than Cardon's SURVIVE! Lionel Stander is in it too.
41864_u	Having seen this film twice now - which some might find unbelievable or even masochistic - I felt I had to comment on it. It's easy to pan. The music is cheesy. In fact, as my wife suggested, it sounds like a porn flick. The dialog is downright juvenile if not stupid. Its runtime is way too long. I could go on but you get the idea. So why did I watch it twice? Well, one of my guilty pleasures is bad movies and I am a devoted fan of Carroll Baker and this movie fit both bills. Strangely enough the second time around I found much to like. The underwater scenes were really well done, especially those of the corals which were absolutely spectacular. The sharks were awesome, shown in all their predatory splendor and captivating ferocity. The cyclone scenes were also really cool, especially the ones of the seawall breaking and subsequent flooding. My guess is they were filming a real cyclone as these were not studio or miniature shots. And of course it starred Carroll Baker, still a knockout at 47, even without a hint of makeup. And Arthur Kennedy, at 64, in another trademark performance. Seeing him in this megalomaniac turkey was akin to a pilgrimage. To be honest, had it not been for these two actors I would not have bothered to see the film let alone review it.
41865_u	Cyclone's plot features a group of people stranded at sea after a cyclone rolls through leaving them with little water or food. The movie examines the lengths these people will go through to survive. I have now seen three films directed by Rene Cardona, Jr. and Cyclone is easily my least favorite. While it has its moments of weirdness, overall it is neither as sleazy as Tintorera nor as bizarre as The Treasure of the Amazon. For the most part, it's just plain dull and nowhere near as fun as the other two Cardona movies I mentioned. Add to that some bad acting, bad special effects, bad gore, and a bad script and you've got the makings for a bad movie.<br /><br />Animal lovers beware. Cyclone features one scene in particular that is as cruel a scene as I've ever seen. I realize that the animal probably wasn't hurt, but I found it repulsive nonetheless.
41866_u	Johnathon Schaech has definitely got talent, writing and acting in this although it was a mediocre film. The plot seems all too easy and done plenty of times before, but it still somewhat keeps your interest. It was obviously not a Hollywood hit with a huge budget, but for what they had, I believe it turned out OK.<br /><br />The story follows a lead character Aaron(Johnathon Schaech)and his response to him and his friends killing a burglar on their poker night. They make a commonly used film move and dump the body and get rid of the evidence. Things begin happening to the people involved in this murder and evidence points to our lead character as a determined and suspicious detective (Judy Reyes) investigates Johnathon's character. The plot leads us to an interesting, but non-surprising twist in the end which leaves the audience questioning elements about Aaron's wife and her actions. Johnny Messner once again plays an obnoxious character who is not too likable, for reasons explained in the film. Overall, wasn't too bad considering, but there's definitely better straight to DVD features out there to watch.<br /><br />Obvious why it's a DVD feature, but still have to give credit to Johnathon Schaech for his drive and determination to adapt this screenplay and get it made.
41867_u	Johnathon Schaech stars and co-wrote the 'teleplay' for this movie,It is from a novel by Ed Gorman.This is a mystery story that could have been much better. The general tale has been done too many times already to maintain any suspense or real mystery. <br /><br />Another point that dooms this film is that none of the people are very good or interesting & I for one was unable to care one bit on what occurred. NOTE I have not mentioned any of the cast names<br /><br />As I said in the above summary the best thing is the running time.including credits only 82 minutes.<br /><br />The acting is only fair, same for the production, there is nothing I can recommend here.<br /><br />OK I have my 10 lines,.<br /><br />Ratings: ** (out of 4) 52 points(out of 100) IMDb 4 (out of 10)
41868_u	All of the good reviews I've seen on here make me think that none of them have read Ed Gorman's book that the movie was adapted from. I think they got the idea and the character's names right, but it stopped right there. The Poker Club was a great book, I don't know why they didn't just keep to the original story and not make it predictable and stupid, like they did. Schaech needs to stick with acting and forget about screen-writing. Glad I just rented this pile of crap and didn't buy it. The whole part of the movie about both Jan and Aaron both having affairs was just pointless. I understand a movie can't be made as detailed as a book, but come on! If your'e going to adapt a movie from a book, at least stick to the story or come up with your own damn idea.
41869_u	"A company of British soldiers are sent to Bosnia under the auspices of UNPROFOR , the United Nations Protection Force <br /><br />I`ve looked through this page and have been amazed to see the praise WARRIORS has received . I hated this teleplay down to the highly inaccurate points on screen . Yes Muslims were massacred and murdered in central Bosnia in 1993 as shown here , the only thing is that they weren`t murdered and massacred by Serbs , they were murdered and massacred by Croats ! WARRIORS would have you believe that the only people committing war crimes were Serbs. Did anyone remember Martin Bell`s BBC report from 1993 about the massacre in Amichi where scores of Bosnian Muslims woman and children amongst them were rounded up and burned alive ? It was Croats who were responsible for that atrocity and Croats themselves were the victims of Muslim war crimes in the region . Central Bosnia where the British UNPROFOR were based in Travnik , Gornji Vakuf , and Vitez is a region with very few Serbs with the ethnic composition being almost entirely Croat and Bosnian Muslim . It was the scene of the very bloody ( And now forgotten ) "" Muslim - Croat war "" of 1992 to 1994 . If you think I`m apologising for the Serbs I`m not , try and track down news reports at the time , go into a libary with a large archive and look through newspaper reports from 1992 to 1994 , read accounts like The Fall Of Yugoslavia by Mish Glenny , talk to British soldiers who were there and you`ll find out little of the crimes ( And they were crimes ) were done by Serbs though they were guilty of terrible crimes elsewhere in the region <br /><br />This annoyance is not only down to ignoring facts , it`s also down to director Peter Kosminsky trying to set some hidden agenda . When WARRIORS was broadcast Kosminsky was appearing on every current affairs show saying the role of British and Western forces should be used for humanitarian intervention . Britain and America bombed Serbia to stop Serbs murdering Muslims in Kosovo , Britain and America invaded Iraq to overthrow a murderous right wing secular Arab regime that was murdering Muslims in Southern Iraq . I wonder if Kosminsky was for both these interventions ? It should also be remembered Kosminsky made the anti war documentary THE FALKLANDS - THE UNTOLD STORY about a black and white conflict , so for him to make a pro interventionist drama about a deeply complex war is very hypocritical <br /><br />WARRIORS is only worth watching to see Damien Lewis and Ioan Gruffodd when they were both unknown actors"
41870_u	"***SPOILERS*** ***SPOILERS*** I was perusing the Foreign section of the local video store of rare and hard to find films when I saw ""El Topo"" sitting plainly on the shelf. My heart rose, as I had heard much about the film and wanted to see it very much -- plus it is so hard to find and JESUS CHRIST it was sitting right there!<br /><br />I took it home and watched it right away. I was extremely disappointed. Folks, there is a reason why this movie is so hard to find, let me tell you...<br /><br />(SPOILERS)<br /><br />The first half of this movie has the main character El Topo with his young son riding through the desert where they encounter various violent wierdnesses. The first is a barn in the middle of nowhere with mutilated human and cattle all over the place. Only one man is left - he is lying on the ground, wounded, and begging for El Topo to put him out of his misery. El Topo gives his gun to the seven-year-old boy, who kills the man. Nice, right? This is just one of the many pointless situations they get themselves into. After this, they arrive somewhere else, and then somewhere else, again and again, just for more unexplained violence, without any other plot, explanation, or transition between these episodes.<br /><br />The second half begins after El Topo is shot dead. We are taken to yet another remote village in the desert (again, without any explanation or reason whatsoever). A few scenes stand out in my head:<br /><br />1.) A man is slaving over a group of women in some sort of salon. They all seem to be hitting on him, wanting him to fool around with them. Eventually, one of the women drops something, and when he bends over to pick it up for her, she pulls him to her inner thigh and then starts screaming out that he is advancing on her without her consent. The other women rush over and start hitting him, then sexually abusing HIM, all the while shouting at him to stop raping them. He is dragged outside by the town's men where he is hung and shot.<br /><br />2.) In some sort of room, a bunch of townspeople are passing around a gun loaded with one blank bullit (which they pretend is real) and pretend to play Russian roulette. Everyone misses the blank bullit, and shouting out that they are holy for being so lucky. The son of El Topo (who has found his way to this village and now grown into a man) takes the gun, removes the blank and replaces it with a real bullit. He then does a round of roulette on himself and survives. The people love it. They pass around the gun, pulling the trigger on themselves, surviving. Each time, they shout out praises to God and what not. In all the excitement, a young child grabs the gun and shoots himself in the head and dies.<br /><br />If these scenes are supposed to mean something, I sure as hell missed the point.<br /><br />(END OF SPOILERS)<br /><br />It's not that I don't like Jodorowsky's work, or am weak-stomached. I adore SANTA SANGRE and would recommend it to anyone. It's just that the film seems to exploit unpleasantness as if it were a valuable asset in a film. It does so without entertainment, shock-value, or any other form of success and just comes off as a waste of the little time and money it might have cost to make it. It is offensive for that reason - offensively bad.<br /><br />Anyone who is on this website must appreciate good films. I know I do. There is so much else to apply your mind to, ladies and gentlemen. Go out and rent something worth your while. Don't rent this crap just because it's rare and ""notorious"". That's why I rented it, but that's not why I didn't like it. Even for those who pursue hard-to-find videos, like me: beware. This is pretty lousy film-making."
41871_u	"Watching this film because of John Lennon's endorsement and a short synopsis I had read, I found myself very upset about what I saw and disappointed with the story as a whole (particularly the second half = the acting and plot went downhill very quickly). While the visuals, for the most part, are amazing and hauntingly desolate/strange...the film quickly became an unsettling, pretentious mess. First, the entire film is a biblical allusion (Old and New Testament), which would be great...BUT Jodorowsky's religious references are so blatant and redundant that they become annoying, tired and expected (like moral ground in a Disney cartoon geared toward a six year old). Secondly, there are hundreds of dead mutilated, mostly real animals throughout the entire film making it one to watch on an empty stomach (I actually do biomedical research using rats, which I have to dissect biweekly for brain and spinal tissue, and the animal carnage still gave me a foul taste in my mouth). Thirdly, the physics don't make any sense at all (a certain thrown knife that impossibly kills a baddie...as well as other incidences that make you say ""what...but how???"". Finally, what makes me most ashamed for watching this film, is the gratuitous, undignified and disrespectfully dark humor use of actual maimed and deformed (by birth defects) people throughout the entire film. A perfect example of this is a part where a man with no arms reaches for a gun in his holster.<br /><br />So before you buy...I strongly recommended renting it. And if you really want a slick, surrealist gunfight film, try Branded To Kill by Seijun Suzuki (so strangely wonderful, he was fired for making it)."
41872_u	To say that Jodorowsky uses symbolism in this film is an understatement. There is no plot; it's all symbolism, a Biblical allegory exploring themes that only Jodorowsky and his fans can appreciate. The script, if it could be called that, is amateurish and pointless, featuring random acts of violence, which veers from silly to repellent. The self-indulgent Jodorowsky may be called a poor man's Sergio Leone, but doing so would be an insult to the Italian master. The acting is uniformly terrible, including Jodorowsky himself in the title role, a la The Man With No Name. Films like this give surrealism a bad name.
